1752,4850,2704,3316,4476,1341,848,1738,1886,447,1797,4563,909,2851,1772,1021,4533,3710,3639,1365,3741,2150,3355,3198,1123,1930,2595,2351,2671,2351,2671,2351,2860,2892,3300,3300,2394,2503,2503,3923,3923,2500,2443,2500,4446,4446,1663,3310,3930,3310,2443,5191,5206,5093,3630,2443,2361,2901,3141,2748,2955,3317,2960
3711,1263,7343,6670,5966,4091,5568,3921,5822,5168,3192,1425,4042,5114,3478,5177,1367,8211,5169,5301,5568,6086,1764,6264,3640,3266,2431,3112,2346,3112,2346,3112,2118,2263,3067,3067,3997,4009,4009,988,988,5049,4689,5049,3724,3724,5599,5572,5460,5572,7135,5106,5044,5178,6642,7135,6902,7039,6943,7400,7244,7515,7600
3926,7569,392,1668,5194,3940,2201,4124,3962,2526,4728,7282,3840,3891,4703,2722,7252,3310,4357,3698,4015,4131,6065,5160,4053,4860,5201,4525,5325,4525,5325,4525,5514,5518,5218,5218,4269,4321,4321,6642,6642,2762,3372,2762,7455,7455,3885,3486,4648,3486,2084,7870,7885,7771,5612,2084,2302,1207,1397,878,1144,3967,112
2896,6539,815,1596,4365,2933,1103,3094,3216,1518,3720,6252,2832,2896,3695,1784,6222,3288,3528,2760,3186,3480,5036,4529,3046,3853,4171,3495,4296,3495,4296,3495,4485,4488,4188,4188,3239,3292,3292,5613,5613,1732,2343,1732,6369,6369,2994,2657,3819,2657,1467,6979,6994,6880,4961,1467,1685,1180,1421,1028,1234,3349,1072
3235,6878,846,876,4206,3486,1789,3433,3917,2071,4206,6591,3385,2903,4248,2485,6561,4009,3369,3461,3027,4181,5375,5229,3599,4339,4510,3834,4635,3834,4635,3834,4824,4827,4527,4527,3578,3631,3631,5951,5951,2071,2682,2071,6921,6921,3695,2499,3660,2499,2219,7680,7695,7581,5661,2219,2437,460,701,619,678,4101,1103
2317,2105,5528,5269,5052,2258,3672,2193,3925,3271,1320,1818,2208,3867,1611,3280,1788,6314,4326,3405,4756,4189,607,4397,1744,1394,1038,1718,953,1718,953,1718,886,1174,2087,2087,2760,2893,2893,1178,1178,3647,3459,3647,2689,2689,3703,4326,4617,4326,5238,4071,4009,4143,4776,5238,5005,5638,5542,5573,5843,5619,5785
2957,6600,1265,687,3926,3551,2060,3155,4172,2312,3928,6313,3626,2623,4489,2739,6283,4481,3089,3716,2747,4436,5097,5484,3840,4061,4232,3556,4357,3556,4357,3556,4546,4549,4249,4249,3300,3353,3353,5674,5674,1793,2404,1793,7089,7089,3949,2218,3380,2218,2787,7934,7949,7836,5916,2787,3004,395,512,844,477,4666,1414
658,3179,4219,3545,3757,1071,2558,675,3330,2444,521,2892,1370,2133,1428,2684,2862,5481,2921,2809,3022,3594,1668,4220,1529,594,804,387,928,387,928,387,1117,1149,2122,2122,1216,1325,1325,2253,2253,1924,1724,1924,3623,3623,3107,2591,3212,2591,4214,5005,4943,5228,4598,4214,4131,3915,3819,4276,4119,5087,4476
3291,6964,2769,1183,3169,3909,3816,3513,5928,4068,4287,6689,4342,1909,4972,4495,6647,5985,2332,5565,1990,6192,5435,7239,4744,4419,4571,3890,4695,3890,4695,3890,4884,4803,4077,4077,3349,3215,3215,6083,6083,2621,2428,2621,7447,7447,5705,1668,2623,1668,4195,8780,8710,8773,7672,4195,4413,1914,1458,2240,1759,6078,2768
2003,5507,2644,1055,2519,2620,2329,2225,4440,2580,2998,5232,3053,1216,3684,3008,5190,5276,1682,3984,1340,4704,4147,5752,3455,3130,3282,2602,3407,2602,3407,2602,3596,3346,3047,3047,2098,2150,2150,4626,4626,1333,1174,1333,6159,6159,4218,811,1973,811,3455,7491,7421,7484,6185,3455,3673,1789,1328,2110,1629,4935,2638
