,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62
16,6799,955,9528,8344,5964,5673,6877,5607,7112,6500,5187,1401,6031,7445,6884,6619,0,10021,6117,6529,6586,7372,2904,8973,4966,4869,7068,6387,3549,6387,3549,6387,4256,3771,4314,4314,5859,5969,5969,2168,2168,6799,6679,6799,5911,5911,6887,6762,5870,6762,10214,7436,7307,7581,8852,10214,8589,9014,9349,9522,9095,9809,9503
17,4990,9240,4695,5874,8023,5922,3031,5856,3046,5050,5436,8328,4548,6575,5665,3229,8286,0,7409,4288,7087,3211,7133,4747,5465,5569,6269,5589,6394,5589,6394,5589,6582,6760,6557,6557,5632,5741,5741,7721,7721,5439,5949,5439,8989,8989,3293,6775,7452,6775,1821,8062,8389,7911,4373,1821,2694,5733,5601,5176,5343,1799,4670
18,2338,5721,4871,3248,1830,2942,3863,2859,5345,3999,4095,5157,3944,1623,5385,4315,5233,7882,0,4762,1294,5605,4481,8550,4124,3609,3617,2937,3742,2937,3742,2937,3930,3592,3126,3126,2177,1788,1788,4872,4872,1958,1988,1958,6649,6649,5119,1471,1258,1471,7201,8174,8045,8243,7085,7201,5576,3929,4264,4865,4011,7186,4847
19,4312,6703,5063,5841,7604,3420,2845,3355,583,2468,2934,5791,2046,5897,3448,1817,5748,3492,6990,0,6668,843,4596,3991,2963,3067,3732,4163,3856,4163,3856,4163,4045,4078,5131,5131,4206,4316,4316,5184,5184,5251,5130,5251,6532,6532,357,6355,7032,6355,3238,5531,5857,5380,2323,3238,4418,5546,5881,5057,5628,3279,5039
20,2660,5555,4740,3368,936,3264,4186,3181,5667,4321,4418,4991,4266,1945,5707,4637,5067,8204,322,5084,0,5927,4803,8872,4446,3931,3939,3259,4064,3259,4064,3259,4252,3914,3448,3448,2499,2110,2110,5593,5593,2280,2310,2280,6971,6971,5441,1340,364,1340,7523,8496,8367,8565,7407,7523,5898,4085,4364,4734,4062,7508,4716
21,5211,7602,5962,6739,8502,4318,3743,4253,1227,3367,3833,6689,2945,6795,3542,2716,6647,3734,7888,2762,7566,0,5495,3148,3862,3965,4630,5062,4755,5062,4755,5062,4944,4976,6030,6030,5105,5214,5214,6082,6082,6149,6029,6149,6689,6689,1495,7254,7931,7254,3312,5169,5495,5017,1480,3312,4492,6445,6780,5956,6526,2436,5937
22,4810,2107,7515,6355,6330,4092,5296,4027,5532,4920,3607,1194,4451,5457,5303,5038,1152,8440,6483,4949,6228,5792,0,7392,3386,3289,3662,4399,1969,4399,1969,4399,2556,2190,2942,2942,3871,3980,3980,588,588,4811,4690,4811,4331,4331,5306,5915,6237,5915,8633,5855,5727,6000,7272,8633,7008,7025,7361,7509,7107,8228,7490
23,5547,7938,6299,7076,8839,4655,4080,4590,1408,3703,4170,7026,3281,7132,3115,3053,6984,4053,8225,3099,7903,1337,5831,0,4198,4302,4967,5398,5092,5398,5092,5398,5281,5313,6366,6366,5441,5551,5551,6419,6419,6486,6365,6486,6198,6198,1832,7591,8267,7591,3649,5564,5890,5413,1875,3649,4828,6781,7117,6293,6863,2755,6274
24,3378,5059,4130,4907,6670,1776,1911,1711,2146,1534,1290,4147,1065,4963,1918,1653,4104,5055,6056,1563,5734,2406,2952,4871,0,1423,2088,2519,2212,2519,2212,2519,2401,2434,3487,3487,2562,2672,2672,3540,3540,4317,4196,4317,4034,4034,1921,5422,6098,5422,5248,4715,5430,4564,3886,5248,3623,4612,4947,4124,4694,4843,4105
25,3013,4203,5235,4402,5210,1288,3016,1222,3252,2640,802,3291,2171,3503,3023,2758,3248,6160,4597,2669,4274,3512,2096,4941,1106,0,1600,2031,1724,2031,1724,2031,1913,1946,2999,2999,2074,2184,2184,2684,2684,2857,2737,2857,3421,3421,3026,3962,4639,3962,6353,4785,4817,4634,4315,6353,4728,5072,5407,5229,5154,5948,5210
26,2892,2971,5621,4437,4583,3020,4454,2937,5004,4078,3079,2059,4308,3539,4776,4815,2016,8472,4632,4421,4310,5264,864,6865,2858,3153,0,2480,124,2480,124,2480,313,346,1259,1259,1953,2062,2062,1452,1452,2893,2772,2893,3803,3803,4779,3997,4674,3997,7791,5328,5199,5473,6744,7791,6166,5107,5442,5615,5189,7686,5597
27,2557,3652,5671,3946,4754,1566,3452,1501,3924,3076,1475,2739,2843,3047,3696,3430,2697,6833,4140,3341,3818,4184,1545,5613,1778,672,680,0,805,0,805,0,994,1026,1939,1939,1618,1728,1728,2132,2132,2401,2281,2401,3712,3712,3699,3506,4183,3506,6790,5237,5108,5306,4988,6790,5165,4616,4951,5665,4697,6620,5647
28,2768,3021,5497,4313,4459,2896,4330,2813,5299,3953,3831,2108,4184,3414,5339,4691,2066,8348,4507,4716,4185,5560,2237,7969,4134,3028,3037,2356,0,2356,0,2356,1857,221,1134,1134,1828,1938,1938,1501,1501,2768,2648,2768,5244,5244,5074,3873,4550,3873,7667,6769,6640,7662,7039,7667,6042,4983,5318,5491,5064,7562,5472
29,2557,3652,5671,3946,4754,1566,3452,1501,3924,3076,1475,2739,2843,3047,3696,3430,2697,6833,4140,3341,3818,4184,1545,5613,1778,672,680,0,805,0,805,0,994,1026,1939,1939,1618,1728,1728,2132,2132,2401,2281,2401,3712,3712,3699,3506,4183,3506,6790,5237,5108,5306,4988,6790,5165,4616,4951,5665,4697,6620,5647
30,2768,3021,5497,4313,4459,2896,4330,2813,5299,3953,3831,2108,4184,3414,5339,4691,2066,8348,4507,4716,4185,5560,2237,7969,4134,3028,3037,2356,0,2356,0,2356,1857,221,1134,1134,1828,1938,1938,1501,1501,2768,2648,2768,5244,5244,5074,3873,4550,3873,7667,6769,6640,7662,7039,7667,6042,4983,5318,5491,5064,7562,5472
31,2557,3652,5671,3946,4754,1566,3452,1501,3924,3076,1475,2739,2843,3047,3696,3430,2697,6833,4140,3341,3818,4184,1545,5613,1778,672,680,0,805,0,805,0,994,1026,1939,1939,1618,1728,1728,2132,2132,2401,2281,2401,3712,3712,3699,3506,4183,3506,6790,5237,5108,5306,4988,6790,5165,4616,4951,5665,4697,6620,5647
32,4038,2658,6674,5583,5442,3252,4455,3186,4691,4079,2766,1745,3610,4685,4463,4197,1703,7599,5594,4108,5456,4951,551,6551,2545,2448,2812,3626,1119,3626,1119,3626,0,1340,2170,2170,3098,3208,3208,1139,1139,4039,3918,4039,3490,3490,4465,5143,5348,5143,7792,5014,4886,5160,6431,7792,6168,6253,6588,6668,6335,7387,6650
33,3398,2799,6127,4943,4238,3527,4960,3443,5930,4584,4461,1887,4814,4045,5969,5322,1844,8979,4390,5347,4816,6190,2015,8600,4265,3659,3667,2987,3792,2987,3792,2987,2446,0,913,913,2459,2568,2568,1280,1280,3399,3278,3399,5023,5023,5704,4503,4144,4503,8297,6547,6419,6693,7670,8297,6672,5613,5949,6121,5695,8193,6103
34,2485,3740,5214,4030,3324,2614,4047,2530,5017,3671,3548,3176,3901,3132,5056,4408,3251,8065,3477,4434,3903,5277,2084,7687,3352,2746,2754,2073,2878,2073,2878,2073,1533,1195,0,0,1546,1655,1655,2331,2331,2486,2365,2486,5023,5023,4791,3590,3231,3590,7384,6548,6419,6693,6757,7384,5759,4700,5035,5208,4782,7279,5190
35,2485,3740,5214,4030,3324,2614,4047,2530,5017,3671,3548,3176,3901,3132,5056,4408,3251,8065,3477,4434,3903,5277,2084,7687,3352,2746,2754,2073,2878,2073,2878,2073,1533,1195,0,0,1546,1655,1655,2331,2331,2486,2365,2486,5023,5023,4791,3590,3231,3590,7384,6548,6419,6693,6757,7384,5759,4700,5035,5208,4782,7279,5190
36,1977,4609,4379,3292,3022,2147,3556,2064,4551,3205,3082,3697,3435,1315,4590,3942,3655,7574,2408,3968,2086,4811,2699,7221,3385,2280,2288,1607,2412,1607,2412,1607,2149,1810,1305,1305,0,110,110,3090,3090,1650,1626,1650,5320,5320,4325,1774,2451,1774,6893,6844,6716,6914,6291,6893,5268,3865,4200,4373,3946,6813,4354
37,1955,4622,4357,3270,3000,2559,3534,2476,4962,3616,3304,3709,3562,1294,5002,3986,3667,7553,2387,4379,2065,5223,2712,7442,3607,2502,2510,1829,2634,1829,2634,1829,2161,1822,1318,1318,1301,0,0,3102,3102,1629,1605,1629,5651,5651,4737,1752,2429,1752,6872,7175,7047,7136,6702,6872,5247,3843,4178,4351,3925,6857,4332
38,1955,4622,4357,3270,3000,2559,3534,2476,4962,3616,3304,3709,3562,1294,5002,3986,3667,7553,2387,4379,2065,5223,2712,7442,3607,2502,2510,1829,2634,1829,2634,1829,2161,1822,1318,1318,1301,0,0,3102,3102,1629,1605,1629,5651,5651,4737,1752,2429,1752,6872,7175,7047,7136,6702,6872,5247,3843,4178,4351,3925,6857,4332
39,4219,1555,6924,5764,5623,3501,4705,3436,4940,4329,3016,642,3860,4866,4712,4447,600,7849,5775,4357,5637,5201,732,6801,2794,2698,3071,3807,1378,3807,1378,3807,1965,1599,2351,2351,3280,3389,3389,0,0,4220,4099,4220,3739,3739,4715,5324,5529,5324,8042,5264,5135,5409,6680,8042,6417,6434,6769,6918,6516,7637,6899
40,4219,1555,6924,5764,5623,3501,4705,3436,4940,4329,3016,642,3860,4866,4712,4447,600,7849,5775,4357,5637,5201,732,6801,2794,2698,3071,3807,1378,3807,1378,3807,1965,1599,2351,2351,3280,3389,3389,0,0,4220,4099,4220,3739,3739,4715,5324,5529,5324,8042,5264,5135,5409,6680,8042,6417,6434,6769,6918,6516,7637,6899
41,2798,6890,2729,2509,3386,3401,1906,3318,3999,3548,4667,5977,3778,1679,4793,2357,5935,5924,2772,3416,2450,4178,4980,7326,4695,4799,4077,3396,4201,3396,4201,3396,4429,4091,3586,3586,2637,2178,2178,5370,5370,0,1119,0,7109,7109,3773,2138,2814,2138,5243,7590,8505,7439,5658,5243,3618,2215,2550,2723,2296,5228,2704
42,1268,5321,3483,2796,2267,1871,2661,1788,4275,2929,3025,4408,2874,560,4314,3112,4366,6679,1653,3692,1331,4535,3411,7480,3054,2539,2547,1866,2671,1866,2671,1866,2860,2521,2056,2056,1107,1059,1059,3801,3801,755,0,755,5579,5579,4049,1019,1696,1019,5998,7103,6975,7173,6015,5998,4373,2969,3304,3477,3051,5983,3459
43,2798,6890,2729,2509,3386,3401,1906,3318,3999,3548,4667,5977,3778,1679,4793,2357,5935,5924,2772,3416,2450,4178,4980,7326,4695,4799,4077,3396,4201,3396,4201,3396,4429,4091,3586,3586,2637,2178,2178,5370,5370,0,1119,0,7109,7109,3773,2138,2814,2138,5243,7590,8505,7439,5658,5243,3618,2215,2550,2723,2296,5228,2704
44,6833,5431,7584,7419,7834,4305,5366,4240,5601,4989,3819,4137,4520,6521,4643,5108,4095,8510,7614,5018,7292,5861,2942,4830,3455,3345,4617,5048,3436,5048,3436,5048,4175,3658,4561,4561,5091,5201,5201,3530,3530,5875,5754,5875,0,0,5376,6979,7656,6979,8703,1642,1513,1787,4150,8703,7078,8067,8402,7578,8149,8298,7560
45,6833,5431,7584,7419,7834,4305,5366,4240,5601,4989,3819,4137,4520,6521,4643,5108,4095,8510,7614,5018,7292,5861,2942,4830,3455,3345,4617,5048,3436,5048,3436,5048,4175,3658,4561,4561,5091,5201,5201,3530,3530,5875,5754,5875,0,0,5376,6979,7656,6979,8703,1642,1513,1787,4150,8703,7078,8067,8402,7578,8149,8298,7560
46,4209,6600,4960,5737,7500,3317,2741,3251,226,2365,2831,5687,1943,5794,3385,1714,5645,3134,6887,1761,6565,486,4493,3634,2860,2963,3629,4060,3753,4060,3753,4060,3942,3974,5028,5028,4103,4212,4212,5081,5081,5148,5027,5148,6384,6384,0,6252,6929,6252,2880,5654,5981,5503,1966,2880,4060,5443,5778,4954,5524,2922,4935
47,2243,6335,3397,1774,2678,2847,3102,2764,5250,3904,4000,5423,3849,971,5290,3553,5380,7120,2064,4667,1742,5374,4425,8522,4029,3514,3522,2842,3647,2842,3647,2842,3874,3536,3031,3031,2082,2192,2192,4816,4816,1721,1162,1721,6554,6554,5024,0,2107,0,6439,8079,7950,8148,6854,6439,4814,2455,2790,3391,2537,6424,3373
48,3740,5188,6273,4650,1250,4344,5265,4260,6747,5401,5497,4624,5346,3025,6786,5717,4700,9284,1402,6164,2696,7007,5216,9952,5526,5011,5019,4339,5144,4339,5144,4339,4665,5305,4110,4110,3579,3190,3190,5226,5226,3360,3389,3360,8155,8155,6521,2872,0,2872,8602,9680,9551,9825,8487,8602,6978,5331,5666,6267,5413,8588,6248
49,2243,6335,3397,1774,2678,2847,3102,2764,5250,3904,4000,5423,3849,971,5290,3553,5380,7120,2064,4667,1742,5374,4425,8522,4029,3514,3522,2842,3647,2842,3647,2842,3874,3536,3031,3031,2082,2192,2192,4816,4816,1721,1162,1721,6554,6554,5024,0,2107,0,6439,8079,7950,8148,6854,6439,4814,2455,2790,3391,2537,6424,3373
